Start Archetype,Plot Type,Opposing Archetype
The Creator,Comedy,The Herald
The Creator,Comedy,The Trickster
The Creator,Comedy,The Shapeshifter
The Creator,Comedy,The Guardian
The Creator,Comedy,The Shadow
The Creator,Comedy,The Ruler
The Creator,Comedy,The Innocent
The Creator,Comedy,The Outlaw
The Creator,Tragedy,The Hero
The Creator,Tragedy,The Mentor
The Creator,Tragedy,The Ally
The Creator,Tragedy,The Herald
The Creator,Tragedy,The Trickster
The Creator,Tragedy,The Shapeshifter
The Creator,Tragedy,The Guardian
The Creator,Tragedy,The Shadow
The Creator,Tragedy,The Ruler
The Creator,Tragedy,The Innocent
The Creator,Tragedy,The Outlaw
The Creator,Rebirth,The Hero
The Creator,Rebirth,The Mentor
The Creator,Rebirth,The Ally
The Creator,Rebirth,The Herald
The Creator,Rebirth,The Trickster
The Creator,Rebirth,The Shapeshifter
The Creator,Rebirth,The Guardian
The Creator,Rebirth,The Shadow
The Creator,Rebirth,The Ruler
The Creator,Rebirth,The Innocent
The Creator,Rebirth,The Outlaw
The Innocent,Overcoming the Monster,The Hero
The Innocent,Overcoming the Monster,The Mentor
The Innocent,Overcoming the Monster,The Ally
The Innocent,Overcoming the Monster,The Herald
The Innocent,Overcoming the Monster,The Trickster
The Innocent,Overcoming the Monster,The Shapeshifter
The Innocent,Overcoming the Monster,The Guardian
The Innocent,Overcoming the Monster,The Shadow
The Innocent,Overcoming the Monster,The Ruler
The Innocent,Overcoming the Monster,The Creator
The Innocent,Overcoming the Monster,The Outlaw
The Innocent,Rags to Riches,The Hero
The Innocent,Rags to Riches,The Mentor
The Innocent,Rags to Riches,The Ally
The Innocent,Rags to Riches,The Herald
The Innocent,Rags to Riches,The Trickster
The Innocent,Rags to Riches,The Shapeshifter
The Innocent,Rags to Riches,The Guardian
The Innocent,Rags to Riches,The Shadow
The Innocent,Rags to Riches,The Ruler
The Innocent,Rags to Riches,The Creator
The Innocent,Rags to Riches,The Outlaw
The Innocent,The Quest,The Hero
The Innocent,The Quest,The Mentor
The Innocent,The Quest,The Ally
The Innocent,The Quest,The Herald
The Innocent,The Quest,The Trickster
The Innocent,The Quest,The Shapeshifter
The Innocent,The Quest,The Guardian
The Innocent,The Quest,The Shadow
The Innocent,The Quest,The Ruler
The Innocent,The Quest,The Creator
The Innocent,The Quest,The Outlaw
The Innocent,Voyage and Return,The Hero
The Innocent,Voyage and Return,The Mentor
The Innocent,Voyage and Return,The Ally
The Innocent,Voyage and Return,The Herald
The Innocent,Voyage and Return,The Trickster
The Innocent,Voyage and Return,The Shapeshifter
The Innocent,Voyage and Return,The Guardian
The Innocent,Voyage and Return,The Shadow
The Innocent,Voyage and Return,The Ruler
The Innocent,Voyage and Return,The Creator
The Innocent,Voyage and Return,The Outlaw
The Innocent,Comedy,The Hero
The Innocent,Comedy,The Mentor
The Innocent,Comedy,The Ally
The Innocent,Comedy,The Herald
The Innocent,Comedy,The Trickster
The Innocent,Comedy,The Shapeshifter
The Innocent,Comedy,The Guardian
The Innocent,Comedy,The Shadow
The Innocent,Comedy,The Ruler
The Innocent,Comedy,The Creator
The Innocent,Comedy,The Outlaw
The Innocent,Tragedy,The Hero
The Innocent,Tragedy,The Mentor
The Innocent,Tragedy,The Ally
The Innocent,Tragedy,The Herald
The Innocent,Tragedy,The Trickster
The Innocent,Tragedy,The Shapeshifter
The Innocent,Tragedy,The Guardian
The Innocent,Tragedy,The Shadow
The Innocent,Tragedy,The Ruler
The Innocent,Tragedy,The Creator
The Innocent,Tragedy,The Outlaw
The Innocent,Rebirth,The Hero
The Innocent,Rebirth,The Mentor
The Innocent,Rebirth,The Ally
The Innocent,Rebirth,The Herald
The Innocent,Rebirth,The Trickster
The Innocent,Rebirth,The Shapeshifter
The Innocent,Rebirth,The Guardian
The Innocent,Rebirth,The Shadow
The Innocent,Rebirth,The Ruler
The Innocent,Rebirth,The Creator
The Innocent,Rebirth,The Outlaw
The Outlaw,Overcoming the Monster,The Hero
The Outlaw,Overcoming the Monster,The Mentor
The Outlaw,Overcoming the Monster,The Ally
The Outlaw,Overcoming the Monster,The Herald
The Outlaw,Overcoming the Monster,The Trickster
The Outlaw,Overcoming the Monster,The Shapeshifter
The Outlaw,Overcoming the Monster,The Guardian
The Outlaw,Overcoming the Monster,The Shadow
The Outlaw,Overcoming the Monster,The Ruler
The Outlaw,Overcoming the Monster,The Creator
The Outlaw,Overcoming the Monster,The Innocent
The Outlaw,Rags to Riches,The Hero
The Outlaw,Rags to Riches,The Mentor
The Outlaw,Rags to Riches,The Ally
The Outlaw,Rags to Riches,The Herald
The Outlaw,Rags to Riches,The Trickster
The Outlaw,Rags to Riches,The Shapeshifter
The Outlaw,Rags to Riches,The Guardian
The Outlaw,Rags to Riches,The Shadow
The Outlaw,Rags to Riches,The Ruler
The Outlaw,Rags to Riches,The Creator
The Outlaw,Rags to Riches,The Innocent
The Outlaw,The Quest,The Hero
The Outlaw,The Quest,The Mentor
The Outlaw,The Quest,The Ally
The Outlaw,The Quest,The Herald
The Outlaw,The Quest,The Trickster
The Outlaw,The Quest,The Shapeshifter
The Outlaw,The Quest,The Guardian
The Outlaw,The Quest,The Shadow
The Outlaw,The Quest,The Ruler
The Outlaw,The Quest,The Creator
The Outlaw,The Quest,The Innocent
The Outlaw,Voyage and Return,The Hero
The Outlaw,Voyage and Return,The Mentor
The Outlaw,Voyage and Return,The Ally
The Outlaw,Voyage and Return,The Herald
The Outlaw,Voyage and Return,The Trickster
The Outlaw,Voyage and Return,The Shapeshifter
The Outlaw,Voyage and Return,The Guardian
The Outlaw,Voyage and Return,The Shadow
The Outlaw,Voyage and Return,The Ruler
The Outlaw,Voyage and Return,The Creator
The Outlaw,Voyage and Return,The Innocent
The Outlaw,Comedy,The Hero
The Outlaw,Comedy,The Mentor
The Outlaw,Comedy,The Ally
The Outlaw,Comedy,The Herald
The Outlaw,Comedy,The Trickster
The Outlaw,Comedy,The Shapeshifter
The Outlaw,Comedy,The Guardian
The Outlaw,Comedy,The Shadow
The Outlaw,Comedy,The Ruler
The Outlaw,Comedy,The Creator
The Outlaw,Comedy,The Innocent
The Outlaw,Tragedy,The Hero
The Outlaw,Tragedy,The Mentor
The Outlaw,Tragedy,The Ally
The Outlaw,Tragedy,The Herald
The Outlaw,Tragedy,The Trickster
The Outlaw,Tragedy,The Shapeshifter
The Outlaw,Tragedy,The Guardian
The Outlaw,Tragedy,The Shadow
The Outlaw,Tragedy,The Ruler
The Outlaw,Tragedy,The Creator
The Outlaw,Tragedy,The Innocent
The Outlaw,Rebirth,The Hero
The Outlaw,Rebirth,The Mentor
The Outlaw,Rebirth,The Ally
The Outlaw,Rebirth,The Herald
The Outlaw,Rebirth,The Trickster
The Outlaw,Rebirth,The Shapeshifter
The Outlaw,Rebirth,The Guardian
The Outlaw,Rebirth,The Shadow
The Outlaw,Rebirth,The Ruler
The Outlaw,Rebirth,The Creator
The Outlaw,Rebirth,The Innocent
